termo,coef,se_cluster,ci_low,ci_high,p_valor,espec,n,n_clusters,r2,outcome_medio,q_fdr_atracao,amostra
atracao_muni,0.8400675082999602,0.39306503999306774,0.06967418633175149,1.610460830268169,0.032579886241995606,OLS_delta_ampliada_597_sobreposta_minimal,597,242,0.15562415031015753,0.9061976549413735,,ampliada_597_sobreposta
cod_curso_10,0.6279976610506869,0.4631442106816652,-0.2797483115336079,1.5357436336349817,0.17511695383292836,OLS_delta_ampliada_597_sobreposta_minimal,597,242,0.15562415031015753,0.9061976549413735,,ampliada_597_sobreposta
cod_curso_11,0.6962918042123476,0.4595856441105294,-0.2044795060559328,1.597063114480628,0.12976163004658461,OLS_delta_ampliada_597_sobreposta_minimal,597,242,0.15562415031015753,0.9061976549413735,,ampliada_597_sobreposta
cod_curso_14,2.067612813485689,0.7233104547519372,0.6499503725306037,3.4852752544407744,0.00425593692812894,OLS_delta_ampliada_597_sobreposta_minimal,597,242,0.15562415031015753,0.9061976549413735,,ampliada_597_sobreposta
cod_curso_15,0.7576760254928526,0.9097341594086914,-1.0253701624540028,2.5407222134397083,0.4049268944409872,OLS_delta_ampliada_597_sobreposta_minimal,597,242,0.15562415031015753,0.9061976549413735,,ampliada_597_sobreposta
cod_curso_4,0.2093475914310628,0.6911972801076763,-1.1453741837920264,1.5640693666541519,0.7619837842522348,OLS_delta_ampliada_597_sobreposta_minimal,597,242,0.15562415031015753,0.9061976549413735,,ampliada_597_sobreposta
cod_curso_5,4.008574992587319,0.625107574972091,2.7833866591788494,5.233763325995789,1.4304327192099467e-10,OLS_delta_ampliada_597_sobreposta_minimal,597,242,0.15562415031015753,0.9061976549413735,,ampliada_597_sobreposta
cod_curso_6,1.5186174316395942,0.7978101942026704,-0.04506181549654609,3.0822966787757347,0.05697766592153001,OLS_delta_ampliada_597_sobreposta_minimal,597,242,0.15562415031015753,0.9061976549413735,,ampliada_597_sobreposta
cod_curso_7,0.7257725140728413,0.4534950214061294,-0.16306139505139328,1.6146064231970758,0.10951032399670572,OLS_delta_ampliada_597_sobreposta_minimal,597,242,0.15562415031015753,0.9061976549413735,,ampliada_597_sobreposta
cod_curso_8,0.6759085518598249,0.6149013406359877,-0.5292759298321066,1.8810930335517564,0.27167445725973505,OLS_delta_ampliada_597_sobreposta_minimal,597,242,0.15562415031015753,0.9061976549413735,,ampliada_597_sobreposta
uf_fe_12,-0.28470517689406155,1.0479928719385807,-2.338733461948377,1.7693231081602538,0.785878006019944,OLS_delta_ampliada_597_sobreposta_minimal,597,242,0.15562415031015753,0.9061976549413735,,ampliada_597_sobreposta
uf_fe_13,-0.008574992587316754,0.6251075749724609,-1.2337633259965117,1.2166133408218784,0.989055260408463,OLS_delta_ampliada_597_sobreposta_minimal,597,242,0.15562415031015753,0.9061976549413735,,ampliada_597_sobreposta
uf_fe_15,-1.0676128134856857,0.723310454751114,-2.4852752544391574,0.35004962746778623,0.1399414492704941,OLS_delta_ampliada_597_sobreposta_minimal,597,242,0.15562415031015753,0.9061976549413735,,ampliada_597_sobreposta
uf_fe_17,-0.2848395213207811,0.5490045161654165,-1.3608686003548351,0.791189557713273,0.6038799202474845,OLS_delta_ampliada_597_sobreposta_minimal,597,242,0.15562415031015753,0.9061976549413735,,ampliada_597_sobreposta
uf_fe_21,-0.2000577595944153,0.5122859979885943,-1.2041198654362186,0.804004346247388,0.696152312081199,OLS_delta_ampliada_597_sobreposta_minimal,597,242,0.15562415031015753,0.9061976549413735,,ampliada_597_sobreposta
uf_fe_22,0.15878782210639644,0.6133813306263534,-1.0434174947105113,1.3609931389233043,0.7957332853175108,OLS_delta_ampliada_597_sobreposta_minimal,597,242,0.15562415031015753,0.9061976549413735,,ampliada_597_sobreposta
uf_fe_23,0.24421122003623996,0.553736816138663,-0.8410929965094173,1.329515436581897,0.6591956295408008,OLS_delta_ampliada_597_sobreposta_minimal,597,242,0.15562415031015753,0.9061976549413735,,ampliada_597_sobreposta
uf_fe_24,0.6186301259662043,1.199235822032228,-1.7318288941872484,2.9690891461196567,0.605956657552787,OLS_delta_ampliada_597_sobreposta_minimal,597,242,0.15562415031015753,0.9061976549413735,,ampliada_597_sobreposta
uf_fe_29,0.5762815951423536,0.5987439491108598,-0.5972349810762146,1.7497981713609216,0.3358064325432176,OLS_delta_ampliada_597_sobreposta_minimal,597,242,0.15562415031015753,0.9061976549413735,,ampliada_597_sobreposta
uf_fe_31,0.05753458791994282,0.4815898889784752,-0.8863642497965117,1.0014334256363975,0.9049045791172818,OLS_delta_ampliada_597_sobreposta_minimal,597,242,0.15562415031015753,0.9061976549413735,,ampliada_597_sobreposta
uf_fe_33,1.1206574705331045,1.3600125419795477,-1.5449181302695774,3.7862330713357863,0.4099365766332368,OLS_delta_ampliada_597_sobreposta_minimal,597,242,0.15562415031015753,0.9061976549413735,,ampliada_597_sobreposta
uf_fe_35,-3.792185704521399,2.065566043022726,-7.840620756534854,0.2562493474920555,0.06637151628756913,OLS_delta_ampliada_597_sobreposta_minimal,597,242,0.15562415031015753,0.9061976549413735,,ampliada_597_sobreposta
uf_fe_41,0.5283974039619631,1.407888828879341,-2.2310139948778205,3.2878088028017465,0.707428531484521,OLS_delta_ampliada_597_sobreposta_minimal,597,242,0.15562415031015753,0.9061976549413735,,ampliada_597_sobreposta
