co_ibge_6d,termo,coef_excluido,delta,dfbeta,n_excluido
521020,estrato_interior_proximo_polo,0.1248805247372391,-0.001721437454303143,-0.039897345729378926,1
431490,estrato_capital,0.23520780775452188,0.003429461358667646,0.03986806432635439,1
130340,estrato_metropolitano,0.29181626946790956,-0.00241752919602356,-0.03986788454479914,9
355710,estrato_interior_proximo_polo,0.1283176618063404,0.0017156996147981718,0.03976436119026757,2
354940,estrato_interior_proximo_polo,0.1283176618063401,0.0017156996147978665,0.03976436119026049,2
330070,estrato_metropolitano,0.29662304622493313,0.0023892475610000075,0.03940148729850663,9
260990,estrato_capital,0.2351476797307922,0.0033693333349379684,0.0391690659510519,1
150360,estrato_interior_proximo_polo,0.12827036945518583,0.0016684072636435898,0.03866827763541465,2
220840,estrato_interior_proximo_polo,0.12493658352999515,-0.00166537866154709,-0.03859808444621761,7
310030,estrato_metropolitano,0.29190109351897664,-0.0023327051449564817,-0.0384690367128363,2
520140,estrato_capital,0.2284735113041875,-0.0033048350916667357,-0.038419263039531894,3
410690,estrato_metropolitano,0.29655269530747275,0.002318896643539625,0.03824131837084919,2
316860,estrato_metropolitano,0.29193992883525893,-0.0022938698286741888,-0.03782859691655592,17
351300,estrato_metropolitano,0.2919650454478887,-0.002268753216044417,-0.03741439459208048,1
310090,estrato_metropolitano,0.29648844598084906,0.0022546473169159365,0.03718177181392341,9
150085,estrato_metropolitano,0.2919837457938148,-0.002250052870118313,-0.03710600401150094,3
316970,estrato_capital,0.23496878153602657,0.0031904351401723374,0.037089344388142736,4
520510,estrato_interior_proximo_polo,0.128195904738567,0.0015939425470247737,0.036942426640274195,1
521280,estrato_interior_proximo_polo,0.12819590473856665,0.0015939425470244128,0.036942426640265834,1
150270,estrato_metropolitano,0.2964697419051444,0.002235943241211291,0.0368733197249325,2
150613,estrato_interior_proximo_polo,0.1250114450846096,-0.001590517106932643,-0.036863036031402875,2
312950,estrato_interior_proximo_polo,0.12501576888250987,-0.0015861933090323688,-0.036762824397654596,1
330620,estrato_capital,0.22863998348932388,-0.0031383629065303564,-0.03648399592570606,1
150240,estrato_capital,0.23491585333791515,0.0031375069420609136,0.03647404519497613,6
320320,estrato_capital,0.22865322086943898,-0.003125125526415251,-0.03633010915844228,1
431270,estrato_metropolitano,0.29203195965678297,-0.0022018390071501526,-0.03631090100904907,2
521800,estrato_metropolitano,0.29643541689942887,0.0022016182354957503,0.03630726022620229,9
522020,estrato_metropolitano,0.29641522547656496,0.002181426812631837,0.03597428004260914,2
521250,estrato_metropolitano,0.29205253303288414,-0.0021812656310489786,-0.035971621969752475,2
311230,estrato_capital,0.22868448082503798,-0.0030938655708162566,-0.03596670692400396,3
260010,estrato_capital,0.2348684401699398,0.0030900937740855616,0.03592285915347719,1
