termo,coef,se_cluster,ci_low,ci_high,p_valor,q_fdr_estrato,espec,n,n_clusters,r2,outcome_medio,outcome_estagio
cod_curso_7,-0.1077198430882682,0.040594764135872534,-0.18728411875547663,-0.028155567421059777,0.007965225569784682,,LPM_alguma_homologacao_minimal,1295,368,0.16875720603825284,0.19305019305019305,alguma_homologacao
cod_curso_8,0.2155765507347011,0.05711190603030703,0.1036392718268634,0.32751382964253883,0.00016024266034767192,,LPM_alguma_homologacao_minimal,1295,368,0.16875720603825284,0.19305019305019305,alguma_homologacao
cod_curso_9,-0.11493795582661766,0.04140804135671594,-0.196096225556126,-0.03377968609710934,0.005507623668398824,,LPM_alguma_homologacao_minimal,1295,368,0.16875720603825284,0.19305019305019305,alguma_homologacao
estrato_capital,0.13397497852519136,0.06659786793486806,0.0034455559256950374,0.26450440112468765,0.044251495234235175,0.04425149523423518,LPM_alguma_homologacao_minimal,1295,368,0.16875720603825284,0.19305019305019305,alguma_homologacao
estrato_interior_proximo_polo,0.10458582107552036,0.03713230768349177,0.03180783535301657,0.17736380679802416,0.004853914988053697,0.0072808724820805455,LPM_alguma_homologacao_minimal,1295,368,0.16875720603825284,0.19305019305019305,alguma_homologacao
estrato_metropolitano,0.24950473866121572,0.049830998543964763,0.1518377762013769,0.34717170112105455,5.527957491565111e-07,1.6583872474695333e-06,LPM_alguma_homologacao_minimal,1295,368,0.16875720603825284,0.19305019305019305,alguma_homologacao
uf_fe_AM,0.11756460396343246,0.07100443713661696,-0.021601535566875107,0.25673074349374003,0.09777528997637079,,LPM_alguma_homologacao_minimal,1295,368,0.16875720603825284,0.19305019305019305,alguma_homologacao
uf_fe_BA,0.19093562130669037,0.05347279258529254,0.08613087368673654,0.2957403689266442,0.00035602032933745577,,LPM_alguma_homologacao_minimal,1295,368,0.16875720603825284,0.19305019305019305,alguma_homologacao
uf_fe_CE,0.23764019252021487,0.07156044477658229,0.09738429804044615,0.37789608699998356,0.0008974964445693857,,LPM_alguma_homologacao_minimal,1295,368,0.16875720603825284,0.19305019305019305,alguma_homologacao
uf_fe_GO,0.08500345320719743,0.07083492840685218,-0.05383045531770603,0.2238373617321009,0.2301309019074519,,LPM_alguma_homologacao_minimal,1295,368,0.16875720603825284,0.19305019305019305,alguma_homologacao
