ibge,cod_curso,modulo,cbo,papel,bracos_cnes_curso,braco_municipal,tratado,elegivel,n_cnes_propostos,n_vagas_imediatas,n_propostas_nao_priorizadas,cointervencao_cirurgica_muni,uf,regiao
351740,1,anestesiologia,225151,principal,imediata_pura,imediata_pura,1,True,1,1,0,True,SP,SUDESTE
351860,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,SP,SUDESTE
351880,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,3,0,9,False,SP,SUDESTE
352050,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,2,0,5,True,SP,SUDESTE
352270,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,SP,SUDESTE
352400,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,SP,SUDESTE
352440,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,2,0,6,True,SP,SUDESTE
352470,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,SP,SUDESTE
352690,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,False,SP,SUDESTE
352900,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,2,0,4,False,SP,SUDESTE
352920,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,SP,SUDESTE
352940,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,False,SP,SUDESTE
352970,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,SP,SUDESTE
353340,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,1,False,SP,SUDESTE
353460,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,2,False,SP,SUDESTE
353700,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,SP,SUDESTE
353870,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,SP,SUDESTE
354150,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,SP,SUDESTE
354870,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,2,0,6,True,SP,SUDESTE
354910,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,SP,SUDESTE
355040,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,SP,SUDESTE
355100,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,SP,SUDESTE
355170,1,anestesiologia,225151,principal,nao_priorizada_pura,nao_priorizada_pura,0,True,1,0,3,False,SP,SUDESTE
